id,breeder,pigeon,name,speed,lat,lon
56,Alonso Loft,0324-AU15-ALON,Melani,159.613,40.8,-102.6
57,Junior Juanich,0402-AU15-JRL,Aretha,163.569,39.7,-112.6
58,Junior Juanich,0403-AU15-JRL,Mara,157.401,32.9,-116.6
59,Jerry Allensworth,0404-AU15-VITA,Perch Potato,163.442,33.3,-107.6
60,Kwan Loft,0408-AU15-KWAN,Carma,150.128,28.7,-102.3
61,Junior Juanich,0409-AU15-JRL,Avelina,148.398,36.6,-105.8
62,Junior Juanich,0410-AU15-JRL,Anitra,140.388,34.3,-114
63,Jerry Allensworth,0410-AU15-VITA,Color Me Hot,114.039,44.3,-90.8
64,Junior Juanich,0411-AU15-JRL,Winter,140.744,30.5,-86.6
65,Kwan Loft,0411-AU15-KWAN,Eladia,129.428,32.4,-99.4
66,Junior Juanich,0412-AU15-JRL,Brittany,149.385,37.6,-89.4
67,Kwan Loft,0414-AU15-KWAN,Eryn,130.774,48.1,-82.8
68,Jerry Allensworth,0415-AU15-VITA,"""the Duck""",153.869,31.5,-110.7
69,B D P Loft,0416-AU15-BDPL,Mendy,120.99,27.5,-106.6
70,B D P Loft,0417-AU15-BDPL,Marcelene,119.525,32.5,-86.3
71,B D P Loft,0418-AU15-BDPL,Loma,158.773,36.1,-116.1
72,Jerry Allensworth,0423-AU15-VITA,Alice,151.79,38,-109.9
73,Kwan Loft,0429-AU15-KWAN,Mitsuko,152.205,47.8,-115.6
74,Equalizer Loft,0435-AU15-LAF,Pop's Pick,115.688,47.7,-111.6
75,Equalizer Loft,0437-AU15-LAF,Lil Dat,161.221,30.5,-90.4
76,Braden/Olivieri,0469-AU15-LAKE,Rogue Brew,91.176,42.4,-87
77,Braden/Olivieri,0471-AU15-LAKE,Canned Heat,91.302,39.4,-90.6
78,Leyba's Loft,0498-AU15-FTSU,Kina,151.506,30.3,-87
79,Greek Connection,0523-AU15-GRK,Myra,101.043,27.1,-99.4
80,Greek Connection,0525-AU15-GRK,Rhonda,151.702,28,-92.8
81,Bionic Loft,0619-AU15-CAJN,Tegan,149.66,37.1,-116.8
82,Greek Connection,0627-AU15-GRK,Leonila,114.286,45.6,-93.2
83,Greek Connection,0674-AU15-GRK,Alexandria,91.643,39.4,-91.7
84,Greek Connection,0675-AU15-GRK,Renae,145.234,36.3,-84.6
85,Hi-Cal Connection,0701-AU15-HAWA,Princess,137.608,40.3,-100.7
86,Ganus Family Loft,0712-AU15-GFL,Elna,128.922,30.8,-83.4
87,Debbie Ganus,0715-AU15-GFL,Tabatha,143.869,27.1,-86.1
88,Debbie Ganus,0724-AU15-GFL,Lahoma,114.236,29.5,-82.8
89,Debbie Ganus,0726-AU15-GFL,Donette,99.688,42,-87.1
90,Lonestar Loft,0737-AU15-DEN,Corrina,144.697,41.4,-86.7
91,Lonestar Loft,0738-AU15-DEN,Cathy,151.506,41,-98.8
92,Debbie Ganus,0741-AU15-GFL,Na,125.059,47.6,-88.3
93,Lonestar Loft,0743-AU15-DEN,Jaye,151.138,47.4,-92.2
94,Lonestar Loft,0748-AU15-DEN,Alycia,146.687,46,-87.3
95,4-Birds,0754-AU15-ESPO,Belia,151.768,33.4,-83.7
96,Ganus Family Loft,0759-AU15-GFL,Boyd,104.327,34.5,-87.9
97,4-Birds,0760-AU15-ESPO,Hope,99.192,41.5,-103.2
98,Debbie Ganus,0762-AU15-GFL,Youlanda,118.187,32.3,-82.1
99,4-Birds,0768-AU15-ESPO,Jong,151.485,29.4,-87.9
100,4-Birds,0770-AU15-ESPO,Nettie,97.923,32.6,-92.7
101,Debbie Ganus,0770-AU15-GFL,Torie,146.83,31.1,-87.7
102,Ganus Family Loft,0771-AU15-GFL,Mariel,113.744,42.9,-107.9
103,Ganus Family Loft,0775-AU15-GFL,Rosita,146.504,35.5,-113.3
104,Ganus Family Loft,0780-AU15-GFL,Francie,151.877,42.4,-98.5
105,Andy Skwiat,0784-AU15-GFL,Bao,121.226,31.8,-82.3
106,Ganus Family Loft,0786-AU15-GFL,Ricki,105.305,46.9,-112.6
107,Hi-Cal Connection,0788-AU15-HAWA,Steffanie,103.347,47.1,-106.6
108,Hi-Cal Connection,0792-AU15-HAWA,Kathey,119.877,38,-109.8
109,Hi-Cal Connection,0798-AU15-HAWA,Junita,76.677,45.3,-95.5
110,Hi-Cal Connection,0799-AU15-HAWA,Veola,108.13,48.4,-96.1
111,Equalizer Loft,0935-AU15-LAF,Robbi,122.024,45.8,-102.5
112,Equalizer Loft,0940-AU15-LAF,Mickie,109.057,46.9,-82.2
113,Baldwin & Tilson,0977-AU15-TENT,Emeline,136.929,28.5,-84.4
114,Baldwin & Tilson,0979-AU15-TENT,Lilli,91.675,36.4,-90
115,Baldwin & Tilson,0997-AU15-TENT,Delisa,91.294,41.8,-95.7
116,J & M Partridge Loft,1028-AU15-PASO,Jutta,151.095,39.8,-90.9
117,Baldwin & Tilson,1029-AU15-TENT,Audie,91.2,44.9,-97.3
118,J & M Partridge Loft,1057-AU15-PASO,Vada,137.59,45.5,-101.4
119,N C Syndicate,1067-AU15-TXHC,Romaine,163.038,30.1,-89.1
120,Dunn Loft,1109-AU15-TXHC,Felipa,131.753,48,-106.9
121,Baldwin & Tilson,1193-AU15-TENT,Kassie,97.932,29.7,-91.1
122,Baldwin & Tilson,1194-AU15-TENT,Aurora,162.913,32.2,-106.5
123,Baldwin & Tilson,1196-AU15-TENT,Filomena,91.5,33.7,-95.9
124,Jb & D,1200-IF15-CCC,Karly,150.793,28.4,-90.3
125,Jb & D,1201-IF15-CCC,Loree,152.315,31,-89.2
126,Jb & D,1204-IF15-CCC,Margorie,153.132,46,-84.8
127,Jb & D,1207-IF15-CCC,Lessie,152.513,43.8,-103
128,Jb & D,1208-IF15-CCC,Rima,149.49,39.9,-117
129,Jb & D,1209-IF15-CCC,Andera,139.535,38.9,-113.9
130,Jb & D,1212-IF15-CCC,Alisha,150.814,44,-106
131,Drama Queen Loft,1214-AU15-GCI,Apolonia,104.307,39.5,-100.9
132,Jb & D,1214-IF15-CCC,Tayna,162.063,45.2,-84
133,J & M Partridge Loft,1225-AU15-PASO,Helga,159.156,29.9,-106.5
134,Drama Queen Loft,1226-AU15-GCI,Jammie,107.854,42,-100.5
135,J & M Partridge Loft,1231-AU15-PASO,Thea,155.592,40.3,-88.6
136,Jb & D,1233-IF15-CCC,Danyelle,159.036,36,-97
137,Drama Queen Loft,1234-AU15-GCI,Luna,122.265,40.6,-85.1
138,Jb & D,1235-IF15-CCC,Annmarie,121.268,36.8,-102.1
139,Jb & D,1287-IF15-CCC,Sonya,91.54,35.1,-85.1
140,Jb & D,1291-IF15-CCC,Jenifer,147.941,30.9,-103.3
141,Mr. Dovely,1310-AU15-FOYS,Chiquita,114.472,31.5,-103.5
142,A P C Loft,15017-AU15-APC,Heidi,149.851,37.3,-115.4
143,A P C Loft,15045-AU15-APC,Tillie,105.379,39.3,-114.9
144,Dave Dudley,15046-AU15-PBLO,Jayne,160.682,34.2,-82.7
145,Dave Dudley,15047-AU15-PBLO,Carolina,160.657,46.5,-110.4
146,A P C Loft,15051-AU15-APC,Renna,104.689,48.7,-95.4
147,A P C Loft,15058-AU15-APC,Danna,114.895,31.7,-113.6
148,A P C Loft,15060-AU15-APC,Felicita,136.628,35.5,-103.3
149,A P C Loft,15061-AU15-APC,Debrah,149.83,41.3,-106.1
150,Dave Dudley,15065-AU15-PBLO,Monique,139.516,36.3,-106.1
151,A P C Loft,15072-AU15-APC,Stephania,158.511,38.5,-108.2
152,A P C Loft,15077-AU15-APC,Demetra,130.419,39.6,-99.9
153,A P C Loft,15079-AU15-APC,Marquita,119.973,28.7,-85.6
154,A P C Loft,15080-AU15-APC,Rosalee,100.552,35.2,-106.1
155,A P C Loft,15085-AU15-APC,Marvel,151.008,33.1,-107.4
156,Captain Chuck,1509-AU15-CAPT,Minda,91.365,46.7,-98.2
157,A P C Loft,15096-AU15-APC,Neta,161.839,38.1,-112.9
158,Captain Chuck,1520-AU15-CAPT,Shana,91.413,44.4,-89.2
159,Captain Chuck,1522-AU15-CAPT,Rheba,90.948,44.9,-93.2
160,Flyhome Loft,1531-AU15-FLYH,Veronica,162.587,42.9,-98.5
161,Flyhome Loft,1532-AU15-FLYH,Catarina,92.697,29.8,-108
162,Jerry Johnson,15412-AU15-SGF,Antonette,105.379,45.6,-109.9
163,Jerry Johnson,15418-AU15-SGF,Livia,104.265,48.5,-98.4
164,Little Reata Loft,15441-AU15-JETT,Codi,160.584,48.5,-107
165,Little Reata Loft,15442-AU15-JETT,Abbey,159.228,30.1,-83.6
166,Little Reata Loft,15449-AU15-JETT,Karyl,149.427,34.6,-99.4
167,Little Reata Loft,15450-AU15-JETT,Helga,99.905,36.1,-108.5
168,Little Reata Loft,15467-AU15-JETT,Sanora,116.518,29.7,-109.5
169,Little Reata Loft,15468-AU15-JETT,Carmel,97.444,48.3,-107.4
170,Emerson/Krass,1554-AU15-EMER,Adaline,99.991,29.7,-95.7
171,Emerson/Krass,1557-AU15-EMER,Marylou,138.129,33.1,-90.3
172,Emerson/Krass,1558-AU15-EMER,Madonna,113.561,31.4,-105.8
173,Emerson/Krass,1559-AU15-EMER,Maxima,160.364,45.2,-99.7
174,Emerson/Krass,1560-AU15-EMER,Tamala,110,32.4,-91.7
175,Cypress Hills Farm,15636-AU15-HELF,Tawny,100.754,43.8,-83.8
176,Cypress Hills Farm,15650-AU15-HELF,Lakesha,112.568,33.1,-84.8
177,Captain Chuck,1609-AU15-CAPT,Dorethea,159.444,28.3,-105.9
178,Centmeyer Loft,1639-AU15-ARNL,Velda,139.002,35.9,-95
179,Centmeyer Loft,1663-AU15-ARNL,Nena,126.558,48.7,-105.4
180,Captain Chuck,1669-AU15-CAPT,Carmelia,91.484,34.4,-100.4
181,Captain Chuck,1671-AU15-CAPT,Awilda,135.663,33.2,-90.5
182,Captain Chuck,1680-AU15-CAPT,Danille,91.389,28.2,-93
183,Captain Chuck,1681-AU15-CAPT,Pamila,91.579,38.3,-112.8
184,Captain Chuck,1684-AU15-CAPT,Ardelia,91.452,37.4,-93.1
185,Captain Chuck,1689-AU15-CAPT,Lauri,91.334,44.1,-85.1
186,Loizzi/Sikora,1736-AU15-FVC,Laticia,150.278,41.9,-91.6
187,Loizzi/Sikora,1738-AU15-FVC,Lauran,134.557,33.6,-106.6
188,Loizzi/Sikora,1741-AU15-FVC,Freda,147.383,45,-86.6
189,Loizzi/Sikora,1742-AU15-FVC,Luisa,138.238,36.6,-89.2
190,Loizzi/Sikora,1746-AU15-FVC,Sunni,98.169,36.5,-113.3
191,7-11 Syndicate,1965-AU15-SD,Floria,100.658,35.4,-88.5
192,N C Syndicate,19658-AU15-FOYS,Evalyn,137.608,28.1,-89.8
193,7-11 Syndicate,1971-AU15-SD,Ciera,123.393,47.9,-114.1
194,Tongol 11,1974-AU15-TONG,BLACK NIGTH 9,135.733,39.4,-103.3
195,Tongol 11,1978-AU15-TONG,BATTLE BORN 27,120.562,35.7,-113.6
196,Tongol 11,1985-AU15-TONG,SEMPER FI 11,108.799,47,-103
197,Alias-Alias,2009-AU15-ALIA,Thu,97.887,33.6,-83.6
198,Alias-Alias,2013-AU15-ALIA,Rosalie,163.392,30.5,-92
199,Alias-Alias,2017-AU15-ALIA,Drusilla,104.358,27.6,-102.3
200,Alias-Alias,2020-AU15-ALIA,Mitzie,162.562,33.9,-111.9
201,Alias-Alias,2025-AU15-ALIA,Hettie,153.801,29.5,-90.3
202,Alias-Alias,2027-AU15-ALIA,Nancie,103.145,36.9,-115.1
203,Alias-Alias,2028-AU15-ALIA,Twyla,149.639,45.4,-99.3
204,Alias-Alias,2043-AU15-ALIA,Rutha,119.782,28.9,-96.2
205,Alias-Alias,2047-AU15-ALIA,Cinthia,100.898,38.4,-89.3
206,Alias-Alias,2049-AU15-ALIA,Necole,161.567,48.7,-94.2
207,Alias-Alias,2054-AU15-ALIA,Deeann,107.579,29,-96.6
208,Mc Laughlin Lofts,2117-AU15-MCLO,Harriett,121.94,34,-101.9
209,Mc Laughlin Lofts,2144-AU15-MCLO,Shanita,139.609,37.2,-87.1
210,Mc Laughlin Lofts,2185-AU15-MCLO,Hyo,101.344,40.1,-98.2
211,Mc Laughlin Lofts,2186-AU15-MCLO,Yolando,160.633,32.1,-90.6
212,Mike Belus,22304-AU15-JEDD,Alfredia,161.914,32.6,-85.1
213,Mike Belus,22309-AU15-JEDD,Angela,161.148,33.8,-104.6
214,The Bailey Team,22725-AU15-ARPU,Rico,107.865,28.3,-108.6
215,Milner-Mckinsey,2483-AU15-VITA,Sunshine,150.535,29.2,-110.2
216,Milner-Mckinsey,2484-AU15-VITA,Leanora,134.935,44.7,-112.4
217,Milner-Mckinsey,2487-AU15-VITA,Louisa,116.325,37.6,-116.1
218,Milner-Mckinsey,2488-AU15-VITA,Isaac,162.437,36.6,-96.8
219,Milner-Mckinsey,2489-AU15-VITA,Usha,131.572,42.1,-114.4
220,Milner-Mckinsey,2493-AU15-VITA,Gladys,91.532,40.8,-86.5
221,Hutchins/Milner,2495-AU15-VITA,Jack Frost,91.508,44.7,-112.2
222,Hutchins/Milner,2496-AU15-VITA,Lavenia,90.901,33.9,-111.9
223,Milner-Mckinsey,2498-AU15-VITA,Elle,105.632,27.2,-95
224,Milner-Mckinsey,2499-AU15-VITA,Christie,146.078,29.5,-97.5
225,Crestview Loft,25357-AU15-ARPU,Lyndia,144.42,28.6,-98.6
226,Crestview Loft,25360-AU15-ARPU,Alline,162.662,46.5,-106.5
227,Crestview Loft,25372-AU15-ARPU,Juliann,115.183,48.2,-94
228,Crestview Loft,25390-AU15-ARPU,Evangelina,159.276,29.8,-101.2
229,Jb & D,2618-IF15-HAM,Miyoko,149.787,33.9,-108.9
230,Baysideboys,2748-IF15-FOYS,Kaylee,91.651,33.1,-101.3
231,Baysideboys,2751-IF15-FOYS,Deborah,91.349,47.7,-115.2
232,Baysideboys,2758-IF15-FOYS,Dani,99.472,41.9,-94.8
233,Bynum Family Lofts,27676-AU15-ARPU,Sharell,151.463,33.1,-89.4
234,Bynum Family Lofts,27678-AU15-ARPU,Nadine,99.285,39.1,-113.6
235,Bynum Family Lofts,27680-AU15-ARPU,Rosalinda,104.918,48.5,-106.1
236,Bynum Family Lofts,27682-AU15-ARPU,Kathrin,129.333,39.5,-102.7
237,Bynum Family Lofts,27690-AU15-ARPU,Edris,136.047,31,-101.7
238,Charlie's Little Loft,28201-AU15-ARPU,Bella,157.541,48.1,-84.2
239,Charlie's Little Loft,28217-AU15-ARPU,Edward,105.127,40.7,-102.6
240,Charlie's Little Loft,28219-AU15-ARPU,Charlie,108.776,43.1,-88.5
241,Kokomo Loft,32156-AU15-ARPU,Joella,150.857,41.4,-110.1
242,Kokomo Loft,32160-AU15-ARPU,Elisabeth,109.441,44.3,-110
243,N C Syndicate,3359-AU15-AA,Tanesha,110.808,46.8,-114.3
244,American Lofts,3559-AU15-CORP,Brande,151.659,43.3,-104.7
245,American Lofts,3584-AU15-CORP,Jeanette,131.115,37.9,-85.5
246,American Lofts,3588-AU15-CORP,Maris,105.854,47,-82.1
247,American Lofts,3602-AU15-CORP,Calandra,159.734,39.1,-115.9
248,Bionic Loft,4853-AU15-TEXS,Eliana,108.866,31.1,-96.5
249,Bud & Orie Loft,51102-IF15-IRPC,Lorrine,152.205,42.7,-101.1
250,Bud & Orie Loft,51161-IF15-IRPC,Sook,162.537,40.2,-97.4
251,Crowley's Ridge Loft,5226-AU15-SIRP,Hildegarde,160.755,27.9,-116.2
252,Crowley's Ridge Loft,5228-AU15-SIRP,Dominque,158.559,37.9,-100.4
253,Mayberry Classic,5508-AU15-MAC,Shelley,83.929,41.1,-99.9
254,Mayberry Classic,5509-AU15-MAC,Caron,97.751,41.8,-82.5
255,Fisher Family Loft,55315-AU15-ARPU,Shelia,107.898,42.9,-107.5
256,Fisher Family Loft,55341-AU15-ARPU,Dot,147.137,33.7,-114
257,Fisher Family Loft,55344-AU15-ARPU,Jong,141.384,38.5,-91.7
258,Fisher Family Loft,55362-AU15-ARPU,Ha,149.321,30.8,-92.2
259,Fisher Family Loft,55363-AU15-ARPU,Ettie,137.536,30.5,-95.2
260,Kiko Arana,57067-AU15-ARPU,Elenora,148.398,40.1,-87.3
261,Kiko Arana,57087-AU15-ARPU,Ellan,102.934,35,-87.4
262,Kiko Arana,57088-AU15-ARPU,Edris,100.19,46,-113.2
263,Kiko Arana,57095-AU15-ARPU,Lea,129.618,46.2,-106
264,Greg Glazier,5721-AU15-SLI,Andree,151.833,29.1,-90.7
265,Greg Glazier,5749-AU15-SLI,Latrina,163.366,47.1,-97.5
266,Greg Glazier,5755-AU15-SLI,Jalisa,98.16,43.9,-112.2
267,Greg Glazier,5768-AU15-SLI,Terrence,163.139,41.3,-108.3
268,Goshentown Lofts,5834-AU15-VITA,Terrilyn,162.662,40.1,-84.5
269,Goshentown Lofts,5841-AU15-VITA,Polly,152.425,38.8,-89.4
270,Goshentown Lofts,5843-AU15-VITA,Yulanda,90.987,28.3,-85.9
271,Goshentown Lofts,5848-AU15-VITA,Miss,91.619,27.1,-114.5
272,Iv Aces Loft,7099-IF15-ACES,Nana,98.242,35.7,-92.1
273,Iv Aces Loft,7100-IF15-ACES,Emilie,149.554,33.3,-87
274,Churn Creek Loft,9212-AU15-SRP,Aleida,152.711,46,-98.6
275,Churn Creek Loft,9215-AU15-SRP,Arminda,151.746,38,-105
276,Churn Creek Loft,9216-AU15-SRP,Gerda,161.765,27.5,-83.8
277,Flying D Loft 2,9509-AU15-FOYS,Riva,153.801,42,-115
278,Flying D Loft 2,9512-AU15-FOYS,Shantel,161.394,46.2,-101.3
279,Flying D Loft 2,9518-AU15-FOYS,Julee,119.444,30.6,-88
